participant_id,parameter,posterior_mean,hdi_low,hdi_high
P000,omega_2,-5.345408333827821,-5.8541863399370255,-4.842320201086433
P001,omega_2,-5.1431896933483126,-5.743249619973578,-4.433820288980382
P002,omega_2,-6.957078849945079,-7.570298734518512,-6.3173271254019845
P003,omega_2,-6.290491433110122,-6.7416076858849125,-5.775257852198682
P004,omega_2,-7.220537892067256,-8.720788703800311,-5.762770830644021
P000,beta,2.8275858340043305,1.7739312517968675,3.7642903621474804
P001,beta,2.952989453216499,2.022196693763616,3.822779319618882
P002,beta,2.5354776495989064,1.70142300692903,3.4631944916678448
P003,beta,2.9649993881404986,2.000313712718438,3.8653130913470486
P004,beta,1.397675276360897,1.0077959320241578,1.8409664271293933
