participant_id,parameter,mean_laplace,mean_nuts,sd_laplace,sd_nuts,abs_diff_mean,abs_diff_log_sd,sd_ratio,within_gate
P000,omega_2,-5.3312871258687595,-5.345408333827821,0.18520010746094978,0.2783123541554796,0.014121207959061799,0.407307156595651,0.6654397646950572,True
P001,omega_2,-5.083278483688671,-5.143189693348315,0.1821702616274705,0.3535533212976152,0.059911209659643916,0.6630925589306786,0.5152554102981334,False
P002,omega_2,-6.92601708737221,-6.957078849945068,0.17720481695400303,0.34311240580663843,0.03106176257285842,0.6607518856866594,0.5164628674308765,False
P003,omega_2,-6.268267461787444,-6.290491433110114,0.16621743469730105,0.26927136925842277,0.02222397132267062,0.4824228999208098,0.6172859563757791,True
P004,omega_2,-6.873220989910767,-7.220537892067244,0.15960142102093383,0.8302312083792286,0.3473169021564777,1.6490246376951256,0.19223731824356083,False
P000,beta,2.966340015070101,2.8275858340043274,0.8145197284893391,0.5301928170982129,0.13875418106577353,0.42935790311346983,1.5362707721075322,
P001,beta,3.074685410119098,2.9529894532164933,0.9863794729397891,0.49914368444645574,0.1216959569026046,0.6811471424704877,1.9761433504536312,
P002,beta,2.6808369674975876,2.535477649598909,0.9950574866502081,0.47560333277881695,0.1453593178986785,0.738216338700578,2.0922004075042246,
P003,beta,3.1143984317492506,2.964999388140501,0.8112513327186432,0.5063403633824549,0.14939904360874978,0.47136881275083764,1.6021857852676844,
P004,beta,1.655106755740857,1.397675276360896,1.0327022555428549,0.22703350045576226,0.257431479379961,1.5148366091040837,4.548677853575526,
